title,brand,category,price,rating,stock,price_bin
Essence Mascara Lash Princess,Essence,beauty,9.99,2.56,99,1
Eyeshadow Palette with Mirror,Glamour Beauty,beauty,19.99,2.86,34,1
Powder Canister,Velvet Touch,beauty,14.99,4.64,89,1
Red Lipstick,Chic Cosmetics,beauty,12.99,4.36,91,1
Red Nail Polish,Nail Couture,beauty,8.99,4.32,79,0
Calvin Klein CK One,Calvin Klein,fragrances,49.99,4.37,29,2
Chanel Coco Noir Eau De,Chanel,fragrances,129.99,4.26,58,3
Dior J'adore,Dior,fragrances,89.99,3.8,98,3
Dolce Shine Eau de,Dolce & Gabbana,fragrances,69.99,3.96,4,3
Gucci Bloom Eau de,Gucci,fragrances,79.99,2.74,91,3
Annibale Colombo Bed,Annibale Colombo,furniture,1899.99,4.77,88,4
Annibale Colombo Sofa,Annibale Colombo,furniture,2499.99,3.92,60,4
Bedside Table African Cherry,Furniture Co.,furniture,299.99,2.87,64,3
Knoll Saarinen Executive Conference Chair,Knoll,furniture,499.99,4.88,26,4
Wooden Bathroom Sink With Mirror,Bath Trends,furniture,799.99,3.59,7,4
Apple,,groceries,1.99,4.19,8,0
Beef Steak,,groceries,12.99,4.47,86,1
Cat Food,,groceries,8.99,3.13,46,0
Chicken Meat,,groceries,9.99,3.19,97,1
Cooking Oil,,groceries,4.99,4.8,10,0
Cucumber,,groceries,1.49,4.07,84,0
Dog Food,,groceries,10.99,4.55,71,1
Eggs,,groceries,2.99,2.53,9,0
Fish Steak,,groceries,14.99,3.78,74,1
Green Bell Pepper,,groceries,1.29,3.25,33,0
Green Chili Pepper,,groceries,0.99,3.66,3,0
Honey Jar,,groceries,6.99,3.97,34,0
Ice Cream,,groceries,5.49,3.39,27,0
Juice,,groceries,3.99,3.94,50,0
Kiwi,,groceries,2.49,4.93,99,0
Lemon,,groceries,0.79,3.53,31,0
Milk,,groceries,3.49,2.61,27,0
Mulberry,,groceries,4.99,4.95,99,0
Nescafe Coffee,,groceries,7.99,4.82,57,0
Potatoes,,groceries,2.29,4.81,13,0
Protein Powder,,groceries,19.99,4.18,80,1
Red Onions,,groceries,1.99,4.2,82,0
Rice,,groceries,5.99,3.18,59,0
Soft Drinks,,groceries,1.99,4.75,53,0
Strawberry,,groceries,3.99,3.08,46,0
Tissue Paper Box,,groceries,2.49,2.69,86,0
Water,,groceries,0.99,4.96,53,0
Decoration Swing,,home-decoration,59.99,3.16,47,3
Family Tree Photo Frame,,home-decoration,29.99,4.53,77,2
House Showpiece Plant,,home-decoration,39.99,4.67,28,2
Plant Pot,,home-decoration,14.99,3.01,59,1
Table Lamp,,home-decoration,49.99,3.55,9,2
Bamboo Spatula,,kitchen-accessories,7.99,3.27,37,0
Black Aluminium Cup,,kitchen-accessories,5.99,4.46,75,0
Black Whisk,,kitchen-accessories,9.99,3.9,73,1
Boxed Blender,,kitchen-accessories,39.99,4.56,9,2
Carbon Steel Wok,,kitchen-accessories,29.99,4.05,40,2
Chopping Board,,kitchen-accessories,12.99,3.7,14,1
Citrus Squeezer Yellow,,kitchen-accessories,8.99,4.63,22,0
Egg Slicer,,kitchen-accessories,6.99,3.09,40,0
Electric Stove,,kitchen-accessories,49.99,4.11,21,2
Fine Mesh Strainer,,kitchen-accessories,9.99,3.04,85,1
Fork,,kitchen-accessories,3.99,3.11,7,0
Glass,,kitchen-accessories,4.99,4.02,46,0
Grater Black,,kitchen-accessories,10.99,3.21,84,1
Hand Blender,,kitchen-accessories,34.99,3.86,84,2
Ice Cube Tray,,kitchen-accessories,5.99,4.71,13,0
Kitchen Sieve,,kitchen-accessories,7.99,3.09,68,0
Knife,,kitchen-accessories,14.99,3.26,7,1
Lunch Box,,kitchen-accessories,12.99,4.93,94,1
Microwave Oven,,kitchen-accessories,89.99,4.82,59,3
Mug Tree Stand,,kitchen-accessories,15.99,2.64,88,1
